"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/12/2025 04:45:00 - 01/12/2025 05:00:00","BZN|DE-LU","Sequence Sequence 2","85.57","",""
"01/12/2025 05:00:00 - 01/12/2025 05:15:00","BZN|DE-LU","Sequence Sequence 1","77.90","",""
"01/12/2025 05:00:00 - 01/12/2025 05:15:00","BZN|DE-LU","Sequence Sequence 2","94.91","",""
"01/12/2025 05:15:00 - 01/12/2025 05:30:00","BZN|DE-LU","Sequence Sequence 1","81.33","",""
"01/12/2025 05:15:00 - 01/12/2025 05:30:00","BZN|DE-LU","Sequence Sequence 2","102.35","",""
"01/12/2025 05:30:00 - 01/12/2025 05:45:00","BZN|DE-LU","Sequence Sequence 1","92.36","",""
"01/12/2025 05:30:00 - 01/12/2025 05:45:00","BZN|DE-LU","Sequence Sequence 2","110.49","",""
"01/12/2025 05:45:00 - 01/12/2025 06:00:00","BZN|DE-LU","Sequence Sequence 1","102.91","",""
"01/12/2025 05:45:00 - 01/12/2025 06:00:00","BZN|DE-LU","Sequence Sequence 2","120.48","",""
"01/12/2025 06:00:00 - 01/12/2025 06:15:00","BZN|DE-LU","Sequence Sequence 1","119.01","",""
"01/12/2025 06:00:00 - 01/12/2025 06:15:00","BZN|DE-LU","Sequence Sequence 2","117.43","",""
"01/12/2025 06:15:00 - 01/12/2025 06:30:00","BZN|DE-LU","Sequence Sequence 1","119.06","",""
"01/12/2025 06:15:00 - 01/12/2025 06:30:00","BZN|DE-LU","Sequence Sequence 2","125.77","",""
"01/12/2025 06:30:00 - 01/12/2025 06:45:00","BZN|DE-LU","Sequence Sequence 1","130.98","",""
"01/12/2025 06:30:00 - 01/12/2025 06:45:00","BZN|DE-LU","Sequence Sequence 2","148.40","",""
"01/12/2025 06:45:00 - 01/12/2025 07:00:00","BZN|DE-LU","Sequence Sequence 1","142.39","",""
"01/12/2025 06:45:00 - 01/12/2025 07:00:00","BZN|DE-LU","Sequence Sequence 2","136.49","",""
"01/12/2025 07:00:00 - 01/12/2025 07:15:00","BZN|DE-LU","Sequence Sequence 1","170.36","",""
"01/12/2025 07:00:00 - 01/12/2025 07:15:00","BZN|DE-LU","Sequence Sequence 2","160.16","",""
