"MTU (UTC)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/12/2025 11:15:00 - 01/12/2025 11:30:00","BZN|DE-LU","14933.94","15516.73","14770.83","15738.17"
"01/12/2025 11:30:00 - 01/12/2025 11:45:00","BZN|DE-LU","15053.75","15601.79","14991.24","15857.94"
"01/12/2025 11:45:00 - 01/12/2025 12:00:00","BZN|DE-LU","15216.12","15715.26","15336.50","15960.01"
"01/12/2025 12:00:00 - 01/12/2025 12:15:00","BZN|DE-LU","15436.47","15885.27","15912.46","15905.03"
"01/12/2025 12:15:00 - 01/12/2025 12:30:00","BZN|DE-LU","15678.50","16084.09","16184.63","16177.74"
"01/12/2025 12:30:00 - 01/12/2025 12:45:00","BZN|DE-LU","15893.84","16271.10","16239.33","16574.73"
"01/12/2025 12:45:00 - 01/12/2025 13:00:00","BZN|DE-LU","16102.51","16456.92","16521.73","16885.58"
"01/12/2025 13:00:00 - 01/12/2025 13:15:00","BZN|DE-LU","16527.73","16852.29","16846.25","16838.17"
"01/12/2025 13:15:00 - 01/12/2025 13:30:00","BZN|DE-LU","17066.96","17390.73","17409.56","17180.20"
"01/12/2025 13:30:00 - 01/12/2025 13:45:00","BZN|DE-LU","17612.71","17938.16","17450.74","17321.51"
"01/12/2025 13:45:00 - 01/12/2025 14:00:00","BZN|DE-LU","18250.15","18577.39","17986.04","17697.25"
"01/12/2025 14:00:00 - 01/12/2025 14:15:00","BZN|DE-LU","18860.49","19186.01","18343.65","18204.67"
"01/12/2025 14:15:00 - 01/12/2025 14:30:00","BZN|DE-LU","19436.82","19939.07","19164.37","18927.23"
"01/12/2025 14:30:00 - 01/12/2025 14:45:00","BZN|DE-LU","19899.39","20665.64","19786.50","19890.08"
"01/12/2025 14:45:00 - 01/12/2025 15:00:00","BZN|DE-LU","20390.92","21402.07","20557.19","21072.77"
"01/12/2025 15:00:00 - 01/12/2025 15:15:00","BZN|DE-LU","20983.24","22157.84","21269.28","22333.90"
"01/12/2025 15:15:00 - 01/12/2025 15:30:00","BZN|DE-LU","21709.05","22981.68","22369.44","23399.00"
"01/12/2025 15:30:00 - 01/12/2025 15:45:00","BZN|DE-LU","22433.98","23799.08","23242.11","24369.79"
"01/12/2025 15:45:00 - 01/12/2025 16:00:00","BZN|DE-LU","23166.75","24614.85","24328.50","25403.75"
"01/12/2025 16:00:00 - 01/12/2025 16:15:00","BZN|DE-LU","23872.56","25392.06","25222.31","26327.92"
"01/12/2025 16:15:00 - 01/12/2025 16:30:00","BZN|DE-LU","24429.26","26003.33","25942.30","27114.30"
"01/12/2025 16:30:00 - 01/12/2025 16:45:00","BZN|DE-LU","24978.76","26607.79","26650.63","27909.26"
"01/12/2025 16:45:00 - 01/12/2025 17:00:00","BZN|DE-LU","25527.28","27203.08","27215.30","28729.38"
"01/12/2025 17:00:00 - 01/12/2025 17:15:00","BZN|DE-LU","26049.50","27775.31","27792.30","29488.97"
"01/12/2025 17:15:00 - 01/12/2025 17:30:00","BZN|DE-LU","26399.07","28144.81","28145.34","29959.30"
"01/12/2025 17:30:00 - 01/12/2025 17:45:00","BZN|DE-LU","26743.19","28495.72","28621.97","30576.56"
"01/12/2025 17:45:00 - 01/12/2025 18:00:00","BZN|DE-LU","27056.39","28818.40","29006.41","31247.75"
"01/12/2025 18:00:00 - 01/12/2025 18:15:00","BZN|DE-LU","27349.47","29122.41","29395.45","31552.39"
"01/12/2025 18:15:00 - 01/12/2025 18:30:00","BZN|DE-LU","27593.05","29367.20","29769.60","31630.03"
"01/12/2025 18:30:00 - 01/12/2025 18:45:00","BZN|DE-LU","27782.84","29537.60","29961.52","31869.31"
"01/12/2025 18:45:00 - 01/12/2025 19:00:00","BZN|DE-LU","28000.62","29738.25","30211.33","32143.75"
"01/12/2025 19:00:00 - 01/12/2025 19:15:00","BZN|DE-LU","28257.45","29962.80","30476.73","32175.92"
"01/12/2025 19:15:00 - 01/12/2025 19:30:00","BZN|DE-LU","28451.24","30131.89","30636.35","32228.89"
"01/12/2025 19:30:00 - 01/12/2025 19:45:00","BZN|DE-LU","28567.93","30198.30","30634.53","32187.26"
"01/12/2025 19:45:00 - 01/12/2025 20:00:00","BZN|DE-LU","28652.57","30237.89","30610.79","32239.89"
"01/12/2025 20:00:00 - 01/12/2025 20:15:00","BZN|DE-LU","28665.13","30184.37","30531.78","32132.59"
"01/12/2025 20:15:00 - 01/12/2025 20:30:00","BZN|DE-LU","28630.57","30095.54","30429.45","32132.96"
"01/12/2025 20:30:00 - 01/12/2025 20:45:00","BZN|DE-LU","28599.79","29988.58","30275.82","32143.66"
"01/12/2025 20:45:00 - 01/12/2025 21:00:00","BZN|DE-LU","28552.29","29888.47","30228.69","32033.20"
"01/12/2025 21:00:00 - 01/12/2025 21:15:00","BZN|DE-LU","27987.38","29275.31","29269.19","30616.10"
"01/12/2025 21:15:00 - 01/12/2025 21:30:00","BZN|DE-LU","27910.62","29170.03","29280.53","30517.70"
"01/12/2025 21:30:00 - 01/12/2025 21:45:00","BZN|DE-LU","27834.29","29069.15","29128.34","30557.21"
"01/12/2025 21:45:00 - 01/12/2025 22:00:00","BZN|DE-LU","27763.65","28973.44","28996.45","30379.41"
"01/12/2025 22:00:00 - 01/12/2025 22:15:00","BZN|DE-LU","27676.34","28888.04","28685.98","30028.65"
"01/12/2025 22:15:00 - 01/12/2025 22:30:00","BZN|DE-LU","27565.91","28846.00","28584.60","29836.86"
"01/12/2025 22:30:00 - 01/12/2025 22:45:00","BZN|DE-LU","27457.37","28807.41","28443.95","29529.88"
"01/12/2025 22:45:00 - 01/12/2025 23:00:00","BZN|DE-LU","27345.48","28754.59","28327.91","29221.35"
"01/12/2025 23:00:00 - 01/12/2025 23:15:00","BZN|DE-LU","28961.14","29333.21","29333.21","28970.36"
"01/12/2025 23:15:00 - 01/12/2025 23:30:00","BZN|DE-LU","28863.13","29090.31","29090.31","28701.57"
"01/12/2025 23:30:00 - 01/12/2025 23:45:00","BZN|DE-LU","28759.73","28924.52","28924.52","28484.06"
"01/12/2025 23:45:00 - 02/12/2025 00:00:00","BZN|DE-LU","28644.64","28758.83","28758.83","28172.79"
